selling_price,seller_type,Km_driven,owner_type,fuel_type,transmission_type,Mileage_KMpH,Engine_cc,max_power_bhp,Seats,No_year
4.5,100,10000,100,100,100,23.1,998,67.04,5,5
5.5,100,70000,100,200,100,17.45,1493,100,7,6
1.7,200,65000,100,100,100,18.6,1199,79.4,5,11
6.5,100,100000,100,200,100,15.1,2179,140,7,7
5,100,10000,100,100,100,20.52,1197,81.8,5,2
5,100,10000,100,100,200,16.9,1197,82,5,7
1.4,100,43000,100,100,100,19.7,796,46.3,5,13
3.49,200,64000,100,300,100,18,1198,86.7,5,9
3.25,100,30000,100,100,100,20.51,998,67.06,5,8
4.35,200,63000,100,100,100,17.8,1497,117.3,5,8
4.55,200,28000,100,300,100,31.79,998,58.33,5,4
7.55,200,32226,100,100,100,17.8,1497,117.3,5,5
6.5,200,63432,100,200,200,13.73,1995,148,5,9
2.5,100,80000,100,100,100,19.4,1198,86.8,5,9
2.45,100,65000,100,100,100,23.95,998,67.05,5,8
13.5,200,14000,100,200,100,20.8,1493,113.4,5,3
2.15,100,90760,100,200,100,19.09,1396,69,5,9
4,100,80000,100,200,100,19.09,1405,69.01,5,6
3.1,100,15000,100,100,200,24.04,999,67,5,4
12.65,100,12851,100,200,100,20.37,1461,108.45,5,4
6.75,200,32000,100,200,100,19.3,1248,73.9,5,4
5,100,30000,100,100,100,20.52,1197,81.8,5,3
3,100,25000,100,100,100,20.36,1197,78.9,5,12
14.5,100,35000,100,200,200,15.4,2179,120,7,6
5.75,300,65597,100,200,100,22.7,1498,89.84,5,8
5.5,100,35000,100,100,100,18.6,1197,81.83,5,5
6.43,100,7124,100,100,100,21.01,1197,81.8,5,2
10,100,15000,100,100,100,18.1,999,123.24,5,3
6.11,200,22979,100,200,100,25.4,1186,73.97,5,4
5.5,100,34000,100,100,100,18.9,1197,82,5,6
3.5,200,42000,100,200,100,21.64,1461,84.8,5,7
4.7,100,40000,100,100,100,20.3,1199,84,5,4
5.25,200,77000,100,200,100,26,1498,98.6,5,8
4.69,100,15000,100,100,100,19.44,1198,67,7,5
2.1,100,60000,100,100,100,20.92,998,67.1,5,10
2,100,120000,100,100,100,22.74,796,47.3,5,9
4,100,2500,100,100,100,23.01,999,67,5,3
3.4,100,46500,100,100,100,23.1,998,67.04,5,6
20.5,200,69000,100,200,200,15.73,1968,174.33,5,7
3.81,100,68000,100,200,100,22.9,1248,74,5,10
7,100,20000,100,200,100,28.4,1248,74.02,5,5
6.75,200,106000,100,200,100,28.09,1248,88.5,5,5
6.7,200,28000,100,100,200,18,1497,117.3,5,7
10.5,100,50000,100,200,100,16,2179,140,7,4
3.15,200,70000,100,200,100,21.64,1461,84.8,5,8
3.6,200,55000,100,100,100,17,1497,118,5,11
4,100,53000,100,200,100,25.83,1498,99,5,5
4.7,200,89000,100,200,100,22.32,1582,126.32,5,8
3.04,100,22000,100,100,100,24.7,796,47.3,5,4
5.25,100,90000,100,200,100,22.95,1248,74,5,4
4.9,200,69000,100,200,100,26,1498,98.6,5,8
4.8,200,85000,100,200,100,16,2179,140,7,9
3.5,100,50000,100,100,100,19.1,1197,82,5,6
5.75,200,3600,100,100,200,20.52,1197,81.8,5,3
6.86,100,5000,100,100,200,21.4,1197,83.1,5,3
3,100,40000,100,100,100,15,1586,104.68,5,15
7.8,200,143000,100,200,100,12.99,2494,100,7,7
16.99,200,28000,100,200,100,17.41,1956,167.68,5,3
2.75,200,65000,100,100,100,18.5,1198,86.8,5,6
8,100,44000,100,200,100,28.4,1248,74,5,3
6.8,100,10000,100,100,200,21.4,1197,83.1,5,4
9.55,200,22346,100,100,100,17,1497,121.36,5,3
3.5,100,120000,100,200,100,21.9,1396,90,5,10
8,200,1000,100,100,100,17.03,1462,103.26,5,2
6.7,200,40000,100,100,200,18.2,1199,88.7,5,4
1.8,200,28000,100,100,100,19.7,796,46.3,5,10
3.5,100,85000,100,100,100,16.95,1498,97.6,5,8
4.9,100,35000,100,100,100,18.9,1197,81.86,5,5
5.5,100,20000,100,100,100,21.4,1197,83.1,5,5
3.5,100,40000,100,100,100,20.36,1197,78.9,5,8
2.45,200,65000,100,100,100,14.53,1798,138.1,5,13
2.5,200,54417,100,100,100,21.1,814,55.2,5,9
1.9,200,74000,100,200,100,20,1399,68.05,5,10
4,200,47592,100,100,100,17,1198,73.75,5,5
4.6,100,46500,100,200,100,20.45,1461,83.8,5,8
6.5,200,8000,100,100,200,21.21,1197,81.8,5,3
7,100,120000,100,200,100,28.09,1248,88.5,5,6
1.2,100,100000,100,100,100,16.2,995,62.1,5,9
4.55,100,34000,100,100,100,20.4,1197,81.8,5,5
1.6,100,88157,100,200,100,19.09,1396,69,5,10
3.65,200,54000,100,100,100,22,1197,81.8,5,8
4.7,200,11275,100,100,100,19.1,1197,85.8,5,8
3.25,200,58000,100,200,100,21.1,1248,73.9,5,9
8,100,19000,100,200,100,20.45,1461,83.8,5,7
4,100,48000,100,200,100,22.9,1248,74,5,10
5.5,200,68000,100,200,100,19.87,1461,83.8,5,7
15.19,200,23000,100,100,200,13.9,1799,130.2,5,3
7.4,100,31500,100,200,200,28.4,1248,74.02,5,4
1.25,100,120000,100,200,100,19.1,1405,70,5,9
2.71,200,63000,100,100,100,19.4,1198,86.8,5,11
4.25,200,63000,100,100,200,10,2393,175.6,5,11
3.25,200,73000,100,200,100,25.8,1498,98.6,5,9
6,100,10000,100,100,200,20.7,1197,81.86,5,2
3,100,30000,100,100,100,20.36,1197,78.9,5,12
3.45,200,83000,100,300,100,26.6,998,58.16,5,6
10.25,200,83000,100,200,100,16,1997,140,7,6
14.5,200,58132,100,200,100,12.4,2499,134,5,5
4,100,34000,100,100,100,20.4,1197,81.8,5,7
3.67,200,45120,100,200,100,25.8,1498,98.6,5,8
5.35,100,15000,100,100,200,18.9,1197,81.86,5,3
8.05,100,15000,100,100,100,19.34,1462,103,7,3
14.88,200,1000,100,100,100,15.81,1451,141,5,2
2.5,100,64000,100,100,100,20.36,1197,78.9,5,10
6.75,200,65000,100,200,100,24.3,1248,88.5,5,6
4.25,200,84000,100,200,100,28.4,1248,74,5,7
2.6,100,33000,100,100,100,22.74,796,47.3,5,7
3,100,57368,100,100,100,19.1,1197,82,5,8
7,200,55670,100,100,100,17.8,1497,117.3,5,6
5.6,100,50000,100,200,100,27.39,1248,74,5,5
8,200,18000,100,100,100,19.01,1462,103.26,7,3
3.5,100,10000,100,100,100,18.9,1197,82,5,7
2.65,200,55000,100,100,100,18.6,1199,76.8,5,7
10,100,50000,100,200,100,15.4,2179,120,7,7
7,100,50000,100,100,100,17.5,1373,91.1,7,4
2.3,100,76963,100,100,100,17.5,1298,85.8,5,13
3.5,200,45000,100,300,100,30.46,796,47.3,5,6
4,100,63000,100,100,100,19.1,1197,82,5,5
8.25,100,25000,100,200,100,27.39,1248,74,5,4
3.25,200,10103,100,100,100,25.17,799,53.3,5,4
1.5,200,55000,100,100,100,14.7,1198,70,5,14
8,200,47240,100,200,100,15.1,2179,140,7,8
4,100,30000,100,100,100,23.1,998,67.04,5,3
17.5,200,58000,100,200,100,13.68,2393,147.51,7,4
19.25,200,56000,100,200,200,17.9,2143,136,5,6
12,200,65000,100,200,200,16.55,1968,147.51,5,9
5.35,200,35213,100,200,100,22.54,1396,88.73,5,7
3.56,100,35000,100,100,100,18.9,1197,82,5,7
5.5,200,92000,100,200,100,16,2179,140,7,10
3.6,200,34500,100,300,100,21.94,1196,61.7,5,4
7,100,50000,100,200,100,24.52,1248,88.5,7,5
3.9,100,30000,100,100,100,18.9,1197,82,5,6
11.5,100,60000,100,200,200,16,2179,140,7,5
